experiment_id,model_version,draw_boost,favorite_dampening,underdog_boost,market_blend_weight,numerical_adjustment_weight,sample_count,hit_rate,brier,logloss,draw_brier,favorite_wrong_count,overconfident_wrong_count,upset_miss_count
E0362,exp-1.15-0.05-0.00-0.00-0.25,1.15,0.05,0.0,0.0,0.25,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0363,exp-1.15-0.05-0.00-0.00-0.50,1.15,0.05,0.0,0.0,0.5,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0364,exp-1.15-0.05-0.00-0.00-1.00,1.15,0.05,0.0,0.0,1.0,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0365,exp-1.15-0.05-0.00-0.10-0.00,1.15,0.05,0.0,0.1,0.0,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0366,exp-1.15-0.05-0.00-0.10-0.25,1.15,0.05,0.0,0.1,0.25,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0367,exp-1.15-0.05-0.00-0.10-0.50,1.15,0.05,0.0,0.1,0.5,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0368,exp-1.15-0.05-0.00-0.10-1.00,1.15,0.05,0.0,0.1,1.0,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0369,exp-1.15-0.05-0.00-0.20-0.00,1.15,0.05,0.0,0.2,0.0,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0370,exp-1.15-0.05-0.00-0.20-0.25,1.15,0.05,0.0,0.2,0.25,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0371,exp-1.15-0.05-0.00-0.20-0.50,1.15,0.05,0.0,0.2,0.5,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0372,exp-1.15-0.05-0.00-0.20-1.00,1.15,0.05,0.0,0.2,1.0,4,0.0000,0.5454,0.9163,0.7536,1,0,2
E0289,exp-1.10-0.10-0.00-0.00-0.00,1.1,0.1,0.0,0.0,0.0,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0290,exp-1.10-0.10-0.00-0.00-0.25,1.1,0.1,0.0,0.0,0.25,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0291,exp-1.10-0.10-0.00-0.00-0.50,1.1,0.1,0.0,0.0,0.5,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0292,exp-1.10-0.10-0.00-0.00-1.00,1.1,0.1,0.0,0.0,1.0,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0293,exp-1.10-0.10-0.00-0.10-0.00,1.1,0.1,0.0,0.1,0.0,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0294,exp-1.10-0.10-0.00-0.10-0.25,1.1,0.1,0.0,0.1,0.25,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0295,exp-1.10-0.10-0.00-0.10-0.50,1.1,0.1,0.0,0.1,0.5,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0296,exp-1.10-0.10-0.00-0.10-1.00,1.1,0.1,0.0,0.1,1.0,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0297,exp-1.10-0.10-0.00-0.20-0.00,1.1,0.1,0.0,0.2,0.0,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0298,exp-1.10-0.10-0.00-0.20-0.25,1.1,0.1,0.0,0.2,0.25,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0299,exp-1.10-0.10-0.00-0.20-0.50,1.1,0.1,0.0,0.2,0.5,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0300,exp-1.10-0.10-0.00-0.20-1.00,1.1,0.1,0.0,0.2,1.0,4,0.0000,0.5462,0.9193,0.7697,1,0,2
E0397,exp-1.15-0.10-0.00-0.00-0.00,1.15,0.1,0.0,0.0,0.0,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0398,exp-1.15-0.10-0.00-0.00-0.25,1.15,0.1,0.0,0.0,0.25,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0399,exp-1.15-0.10-0.00-0.00-0.50,1.15,0.1,0.0,0.0,0.5,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0400,exp-1.15-0.10-0.00-0.00-1.00,1.15,0.1,0.0,0.0,1.0,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0401,exp-1.15-0.10-0.00-0.10-0.00,1.15,0.1,0.0,0.1,0.0,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0402,exp-1.15-0.10-0.00-0.10-0.25,1.15,0.1,0.0,0.1,0.25,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0403,exp-1.15-0.10-0.00-0.10-0.50,1.15,0.1,0.0,0.1,0.5,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0404,exp-1.15-0.10-0.00-0.10-1.00,1.15,0.1,0.0,0.1,1.0,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0405,exp-1.15-0.10-0.00-0.20-0.00,1.15,0.1,0.0,0.2,0.0,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0406,exp-1.15-0.10-0.00-0.20-0.25,1.15,0.1,0.0,0.2,0.25,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0407,exp-1.15-0.10-0.00-0.20-0.50,1.15,0.1,0.0,0.2,0.5,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0408,exp-1.15-0.10-0.00-0.20-1.00,1.15,0.1,0.0,0.2,1.0,4,0.0000,0.5492,0.9217,0.7421,1,0,2
E0013,exp-1.00-0.00-0.03-0.00-0.00,1.0,0.0,0.03,0.0,0.0,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0014,exp-1.00-0.00-0.03-0.00-0.25,1.0,0.0,0.03,0.0,0.25,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0015,exp-1.00-0.00-0.03-0.00-0.50,1.0,0.0,0.03,0.0,0.5,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0016,exp-1.00-0.00-0.03-0.00-1.00,1.0,0.0,0.03,0.0,1.0,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0017,exp-1.00-0.00-0.03-0.10-0.00,1.0,0.0,0.03,0.1,0.0,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0018,exp-1.00-0.00-0.03-0.10-0.25,1.0,0.0,0.03,0.1,0.25,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0019,exp-1.00-0.00-0.03-0.10-0.50,1.0,0.0,0.03,0.1,0.5,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0020,exp-1.00-0.00-0.03-0.10-1.00,1.0,0.0,0.03,0.1,1.0,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0021,exp-1.00-0.00-0.03-0.20-0.00,1.0,0.0,0.03,0.2,0.0,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0022,exp-1.00-0.00-0.03-0.20-0.25,1.0,0.0,0.03,0.2,0.25,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0023,exp-1.00-0.00-0.03-0.20-0.50,1.0,0.0,0.03,0.2,0.5,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0024,exp-1.00-0.00-0.03-0.20-1.00,1.0,0.0,0.03,0.2,1.0,4,0.0000,0.5513,0.9341,0.8615,1,0,1
E0121,exp-1.05-0.00-0.03-0.00-0.00,1.05,0.0,0.03,0.0,0.0,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0122,exp-1.05-0.00-0.03-0.00-0.25,1.05,0.0,0.03,0.0,0.25,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0123,exp-1.05-0.00-0.03-0.00-0.50,1.05,0.0,0.03,0.0,0.5,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0124,exp-1.05-0.00-0.03-0.00-1.00,1.05,0.0,0.03,0.0,1.0,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0125,exp-1.05-0.00-0.03-0.10-0.00,1.05,0.0,0.03,0.1,0.0,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0126,exp-1.05-0.00-0.03-0.10-0.25,1.05,0.0,0.03,0.1,0.25,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0127,exp-1.05-0.00-0.03-0.10-0.50,1.05,0.0,0.03,0.1,0.5,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0128,exp-1.05-0.00-0.03-0.10-1.00,1.05,0.0,0.03,0.1,1.0,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0129,exp-1.05-0.00-0.03-0.20-0.00,1.05,0.0,0.03,0.2,0.0,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0130,exp-1.05-0.00-0.03-0.20-0.25,1.05,0.0,0.03,0.2,0.25,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0131,exp-1.05-0.00-0.03-0.20-0.50,1.05,0.0,0.03,0.2,0.5,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0132,exp-1.05-0.00-0.03-0.20-1.00,1.05,0.0,0.03,0.2,1.0,4,0.0000,0.5534,0.9355,0.8320,1,0,1
E0049,exp-1.00-0.05-0.03-0.00-0.00,1.0,0.05,0.03,0.0,0.0,4,0.0000,0.5556,0.9400,0.8484,1,0,1
E0050,exp-1.00-0.05-0.03-0.00-0.25,1.0,0.05,0.03,0.0,0.25,4,0.0000,0.5556,0.9400,0.8484,1,0,1
